#List of solar wind stream interface arrival times at Earth
#From Morley et al. (2010), "Dropouts of the outer electron
#radiation belt in response to solar wind stream interfaces:
#global positioning system observations", Proceedings of the
#Royal Society A, 466, pp.3329-3350.
#
#YYYY MM DD hh mm ss
2005 01 02 04 00 00
2005 01 12 04 00 00
2005 01 29 13 30 00
2005 02 07 15 00 00
2005 03 06 06 30 00
2005 04 20 03 30 00
2005 05 07 23 30 00
2005 05 28 14 00 00
2005 06 23 10 30 00
2005 07 01 22 00 00
2005 07 28 11 00 00
2005 08 13 10 00 00
2005 08 15 18 30 00
2005 09 30 22 00 00
2005 10 08 03 00 00
2005 11 02 21 30 00
2005 12 27 15 30 00
2006 01 15 22 00 00
2006 01 23 09 00 00
2006 02 20 11 00 00
2006 04 05 15 30 00
2006 05 06 18 30 00
2006 05 11 03 30 00
2006 05 18 12 00 00
2006 06 06 12 00 00
2006 06 14 22 00 00
2006 07 11 19 00 00
2006 07 27 23 00 00
2006 08 07 07 30 00
2006 09 04 05 00 00
2006 09 17 20 30 00
2006 09 24 04 00 00
2006 10 07 16 30 00
2006 10 20 20 00 00
2006 10 28 20 30 00
2006 11 23 10 00 00
2007 01 15 12 00 00
2007 01 29 10 00 00
2007 05 07 15 30 00
2007 05 18 10 30 00
2007 07 03 23 30 00
2007 07 11 02 30 00
2007 08 07 00 00 00
2007 08 10 15 00 00
2007 08 15 05 00 00
2007 09 14 23 30 00
2007 09 27 19 30 00
2007 10 03 10 30 00
2007 10 25 15 00 00
2007 12 11 01 30 00
2007 12 17 08 00 00
2008 01 05 07 30 00
2008 01 25 03 00 00
2008 01 31 17 30 00
2008 02 10 09 00 00
2008 03 26 13 30 00
2008 04 04 20 00 00
2008 04 16 11 30 00
2008 04 22 06 00 00
2008 05 03 12 30 00
2008 05 28 06 30 00
2008 06 06 13 00 00
2008 06 14 17 30 00
2008 06 25 19 30 00
2008 07 22 14 00 00
2008 10 26 07 00 00
2008 11 25 04 30 00
